,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Epoch,AUC,PRC,loss
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.7731103839565816,0.6760188408765103,0.6112344861030579
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,0.867927499114924,0.7601791530944625,0.4950411319732666
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,,,2,0.893489737554158,0.7921431596781024,0.4315919578075409
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,,,,3,0.9092613746314264,0.8161230902589663,0.3938435018062591
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,,,,,4,0.9202388739645246,0.832839424871035,0.3681531846523285
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,,,,,,5,0.9320427507572238,0.8460863845647885,0.3410803079605102
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,,,,,,,6,0.941890586060359,0.8614384844145831,0.3164211511611938
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,,,,,,,,7,0.951162539686244,0.8771167557932263,0.290436714887619
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,,,,,,,,,8,0.9598944755414776,0.892507781236105,0.2625002264976501
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,,,,,,,,,,9,0.9636918700127292,0.9002574722937423,0.248517245054245
10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,,,,,,,,,,,10,0.9707788892837814,0.9139109965250533,0.2225908488035202
11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,0.0,,,,,,,,,,,,11,0.974880477341488,0.9224398433128148,0.2042382359504699
12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,,,,,,,,,,,,,12,0.9807539335939688,0.9353273137697516,0.1774110049009323
13,13.0,13.0,13.0,13.0,13.0,13.0,0.0,,,,,,,,,,,,,,13,0.9836268212699296,0.9395814581458146,0.1639547497034073
14,14.0,14.0,14.0,14.0,14.0,0.0,,,,,,,,,,,,,,,14,0.987552969126986,0.9517717649722632,0.1405748575925827
15,15.0,15.0,15.0,15.0,0.0,,,,,,,,,,,,,,,,15,0.9891373056160327,0.9518276173285198,0.1319360136985778
16,16.0,16.0,16.0,0.0,,,,,,,,,,,,,,,,,16,0.9903330592510468,0.9572998074527128,0.121909461915493
17,17.0,17.0,0.0,,,,,,,,,,,,,,,,,,17,0.9929612364364936,0.9658768847069492,0.1038389205932617
18,18.0,0.0,,,,,,,,,,,,,,,,,,,18,0.9932001677636576,0.9685441744265274,0.0983459204435348
19,0.0,,,,,,,,,,,,,,,,,,,,19,0.9940528915893672,0.9715747583854464,0.0921845212578773
0,,,,,,,,,,,,,,,,,,,,,20,0.9957396350981104,0.9773966378918674,0.07646767795085907
